UniqueID,WatchItem,WatchPointID,BalloonTalkKey,BalloonTalkLabelKey,ReactionTalkKey,ReactionTalkLabelKey
4,4191,4,BLN_Spot_Museum,3230,BO_React_Watching_Fish,363030
5,2241,5,BLN_Spot_Museum,3330,BO_React_Watching_Fish,383030
6,2255,6,BLN_Spot_Museum,3130,BO_React_Watching_Fish,333030
11,2258,8,BLN_Spot_Museum,3230,BO_React_Watching_Fish,373030
12,2260,9,BLN_Spot_Museum,3330,BO_React_Watching_Fish,303130
15,2257,10,BLN_Spot_Museum,3130,BO_React_Watching_Fish,313030
16,2220,11,BLN_Spot_Museum,3230,BO_React_Watching_Fish,343030
17,2239,12,BLN_Spot_Museum,3530,BO_React_Watching_Fish,353130
18,2245,13,BLN_Spot_Museum,3230,BO_React_Watching_Fish,353030
19,2278,14,BLN_Spot_Museum,3330,BO_React_Watching_Fish,313130
20,2282,15,BLN_Spot_Museum,3330,BO_React_Watching_Fish,323130
21,2280,16,BLN_Spot_Museum,3530,BO_React_Watching_Fish,373130
22,4202,17,BLN_Spot_Museum,3530,BO_React_Watching_Fish,383130
23,2284,18,BLN_Spot_Museum,3430,BO_React_Watching_Fish,343130
24,2283,19,BLN_Spot_Museum,3530,BO_React_Watching_Fish,393130
25,4663,20,BLN_Spot_Museum,3331,BO_React_Watching_Fossil,393030
26,4651,21,BLN_Spot_Museum,3331,BO_React_Watching_Fossil,383030
27,4660,22,BLN_Spot_Museum,3331,BO_React_Watching_Fossil,303130
28,4697,23,BLN_Spot_Museum,3231,BO_React_Watching_Fossil,313130
29,226,24,BLN_Spot_Museum,3231,BO_React_Watching_Fossil,353030
30,238,25,BLN_Spot_Museum,3131,BO_React_Watching_Fossil,343030
31,4688,26,BLN_Spot_Museum,3231,BO_React_Watching_Fossil,363030
32,210,27,BLN_Spot_Museum,3131,BO_React_Watching_Fossil,313030
33,4658,28,BLN_Spot_Museum,3131,BO_React_Watching_Fossil,323030
34,195,29,BLN_Spot_Museum,3231,BO_React_Watching_Fossil,373030
35,612,30,BLN_Spot_Museum,3630,BO_React_Watching_Insect,313030
36,637,31,BLN_Spot_Museum,3630,BO_React_Watching_Insect,323030
37,632,32,BLN_Spot_Museum,3630,BO_React_Watching_Insect,333030
38,645,33,BLN_Spot_Museum,3730,BO_React_Watching_Insect,393030
39,3479,34,BLN_Spot_Museum,3730,BO_React_Watching_Insect,383030
40,607,35,BLN_Spot_Museum,3630,BO_React_Watching_Insect,353030
41,600,36,BLN_Spot_Museum,3630,BO_React_Watching_Insect,343030
42,639,37,BLN_Spot_Museum,3730,BO_React_Watching_Insect,373030
43,652,38,BLN_Spot_Museum,3830,BO_React_Watching_Insect,333130
44,3483,39,BLN_Spot_Museum,3031,BO_React_Watching_Insect,383130
45,3484,40,BLN_Spot_Museum,3730,BO_React_Watching_Insect,363030
46,620,41,BLN_Spot_Museum,3730,BO_React_Watching_Insect,303130
47,627,42,BLN_Spot_Museum,3730,BO_React_Watching_Insect,313130
48,586,43,BLN_Spot_Museum,3830,BO_React_Watching_Insect,343130
49,603,44,BLN_Spot_Museum,3730,BO_React_Watching_Insect,323130
51,616,46,BLN_Spot_Museum,3031,BO_React_Watching_Insect,393130
52,642,47,BLN_Spot_Museum,3031,BO_React_Watching_Insect,303230
53,640,48,BLN_Spot_Museum,3930,BO_React_Watching_Insect,353130
54,643,49,BLN_Spot_Museum,3930,BO_React_Watching_Insect,363130
56,296,59,BLN_Spot_Museum,3431,BO_React_Watching_Fossil,323130
57,4665,60,BLN_Spot_Museum,3431,BO_React_Watching_Fossil,333130
58,641,55,BLN_Spot_Museum,3531,BO_React_Watching_Insect,313230
59,3487,56,BLN_Spot_Museum,3730,BO_React_Watching_Insect,323230
60,5339,57,BLN_Spot_Museum,3031,BO_React_Watching_Insect,333230
61,606,58,BLN_Spot_Museum,3031,BO_React_Watching_Insect,343230
62,4189,52,BLN_Spot_Museum,3330,BO_React_Watching_Fish,303230
63,2252,53,BLN_Spot_Museum,3430,BO_React_Watching_Fish,313230
64,2279,54,BLN_Spot_Museum,3530,BO_React_Watching_Fish,323230
68,4201,50,BLN_Spot_Museum,3130,BO_React_Watching_Fish,323030
69,-2,67,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
70,-2,68,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
71,-2,69,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
72,-2,70,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
73,-2,71,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
74,-2,72,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
75,-2,73,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
76,-2,74,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
77,-2,75,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
78,-2,76,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
79,-2,77,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
80,-2,78,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
81,-2,79,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
82,-2,80,BLN_Spot_Museum,3631,BO_React_Watching_Fossil,313032
