GradeID,ItemID,UniqueID
0,13200,1
0,4372,2
0,10704,3
3,14459,4
0,13915,5
0,3310,6
0,2403,7
0,3708,8
0,9727,9
0,4150,10
0,4370,11
0,8846,12
0,8703,13
0,11430,14
0,8904,15
0,8754,16
0,10038,17
0,10034,18
0,9657,19
0,3095,20
0,9779,21
0,9086,22
0,6902,23
0,8931,24
0,9901,25
0,6044,26
0,5196,27
0,9968,28
0,5475,29
0,10722,30
0,10082,31
0,10070,32
0,10078,33
0,5617,34
0,4730,35
0,14765,36
0,4724,37
0,2593,38
0,5476,39
0,9715,40
0,9013,41
0,4548,42
0,4257,43
0,11440,44
0,8907,45
0,13920,46
0,10875,47
0,6881,48
0,14287,49
0,10943,50
0,5256,51
0,5129,52
0,11043,53
0,10887,54
0,5143,55
0,10874,56
0,154,57
0,11899,58
0,5323,59
0,5279,60
0,5330,61
0,3096,62
0,5806,63
0,9993,64
0,9913,65
0,9782,66
0,8937,67
0,11185,68
0,11066,69
0,4238,70
0,4459,71
0,4597,72
0,11211,73
0,4669,74
0,11189,75
0,11005,76
0,11494,77
0,4682,79
0,4677,80
0,4676,81
0,3550,82
0,11024,83
0,3549,84
0,13018,85
0,10976,86
0,5606,87
0,10962,88
0,10098,89
0,10135,90
0,5803,91
0,6839,92
0,12877,93
0,12015,94
0,7501,95
0,7508,96
0,7497,97
0,12014,98
0,11978,99
0,7482,100
0,12009,101
0,7483,102
0,7488,103
1,14819,104
1,14818,105
2,14456,106
0,14463,107
4,14457,108
5,14458,109
3,14833,111
2,14834,112
0,278,116
