DefaultValue,MaxValue,UniqueID,5140e4b4 u8,FlagsFlowAccess,Key,Name,SendPlayReport
0,1000,1,0,2,NewBuildCount,新築完成数カウント,1
0,1,7,0,2,Unlock_MargeCatalog_DIY,カタログマージ(DIYアイテム)アンロック,1
0,1,15,0,2,Unlock_Kabetasu,カベタスアンロック,1
0,1,18,0,2,Unlock_ShareHouse,シェアハウスアンロック,1
0,1,19,0,2,Unlock_Extension,増築アンロック,1
0,1,21,0,2,Unlock_Faclility_School,施設：学校アンロック,1
0,1,22,0,2,Unlock_Faclility_Cafe,施設：カフェアンロック,1
0,1,23,0,2,Unlock_Faclility_Restaurant,施設：レストランアンロック,1
0,1,24,0,2,Unlock_Faclility_Hospital,施設：病院アンロック,1
0,1,25,0,2,Unlock_Faclility_Tailor,施設：服屋アンロック,1
0,1,26,0,2,Unlock_Exchange,事務所：両替機アンロック,1
0,1,27,0,2,Unlock_Donation,事務所：募金箱アンロック,1
0,1,28,0,2,Unlock_InGameSNS,ゲーム内SNSアンロック,1
0,1,30,0,2,TimeCard_AtWork,業務中|タイムカード,1
0,1000,31,0,2,GetDrinkCount,差し入れカウント,1
0,1000,33,1,2,TodayCompleteCount,今日の完了数,1
0,1,34,1,2,ManTalkToday,ナッティー|本日話したか？,1
0,1,35,0,2,IslandCreator_GuideDone,島クリエイターのウェアラン用ガイドを見た？,1
0,1,38,0,2,MncMovetoBridge,ニコ|桟橋へ配置移動,1
0,1,43,1,2,MncBridgeTalkToday,ニコ|本日桟橋到着フローを通った？,1
0,1,44,0,2,Unlock_NPC_00,NPC解禁：最初のお客,1
0,1,45,0,2,Unlock_NPC_01,NPC解禁：初期開放,1
0,1,46,0,2,Unlock_NPC_02,NPC解禁：庭お題解禁,1
0,1,47,0,2,Unlock_NPC_03,NPC解禁：学校作成後,1
0,1,48,0,2,Unlock_NPC_04,NPC解禁：レストラン作成後,1
0,1,49,0,2,Unlock_NPC_05,NPC解禁：カフェ作成後,1
0,1,50,0,2,Unlock_NPC_06,NPC解禁：病院作成後,1
0,1,51,0,2,Unlock_NPC_07,NPC解禁：服屋作成後,1
0,1,52,0,2,Unlock_NPC_08,NPC解禁：まごころ雑巾解禁直前,1
0,1,53,0,2,Unlock_NPC_09,NPC解禁：抽選対象外,1
0,200,54,0,1,PokiRate,ポキの両替レート,1
0,1,55,0,2,TutorialDone,初訪問時チュートリアル完了,1
0,1,56,0,2,Unlock_Amiibo,事務所：amiiboアンロック,1
0,1,59,0,2,CompleteAppearanceSchool,施設：学校の外観が完成した,1
0,1,60,0,2,CompleteAppearanceCafe,施設：カフェの外観が完成した,1
0,1,61,0,2,CompleteAppearanceRestaurant,施設：レストランの外観が完成した,1
0,1,62,0,2,CompleteAppearanceHospital,施設：病院の外観が完成した,1
0,1,63,0,2,CompleteAppearanceTailor,施設：服屋の外観が完成した,1
0,1,64,0,2,Unlock_ThemeFreeEdit,お題なし受注アンロック,1
0,1,65,0,2,Unlock_MargeCatalog_General,カタログマージ(一般)アンロック,1
0,1,66,0,2,SeqUniformTutorialOngoing,制服着用イベントが進行中,1
0,1,67,0,2,SeqFirstEditOngoing,初めてのエディットが進行中,1
0,1,68,0,2,SeqHouseEditTutorialDone,室内エディットチュートリアルが完了,1
0,1,70,0,2,OtgGetStartingSalary,タクミ|初任給を受け取った,1
0,1,71,0,2,Unlock_HousePhoto,施工事例用写真の撮影アンロック,1
0,1,72,0,2,SeqTakeOrderTutorialOngoing,受注チュートリアルが進行中,1
0,1,74,0,2,Unlock_MncBridgeBoat,ニコの桟橋機能アンロック,1
0,1,76,0,2,MncSetHiddenInEditHouse,ニコ|エディット中に屋内で非表示待機させる,1
0,1,77,0,2,NoticeAboutGardenInteriorMode,インテリアモード（庭）の初回ダイアログを見た？,1
0,1,79,0,2,SeqHousePhotoTutorialDone,撮影チュートリアルが完了,1
0,1,80,0,2,MncGenerateInOfficeTemp,ニコ|事務所内への生成を予約,1
0,1,81,0,2,SeqFirstVistCustomerOngoing,初再訪イベントが進行中,1
0,1,82,3,2,InCompleteDemo,完成デモ中,1
0,1,87,3,2,ProposeNPCHouse,営業時に提案をすることにした,1
0,1,88,0,2,Prohibit_SuspendEdit,エディットの中止を禁止,1
0,1,89,0,2,SeqFirrstCustomerPhotoDone,初再訪イベントで写真撮影を終えた,1
0,1,90,0,2,SeqSchoolEditOngoing,学校作成イベントが進行中,1
0,1,91,0,2,SeqOtgTalkAboutSoloWork,休憩のすすめイベントを見た？,1
0,1,92,0,2,SeqKabetasuEventReady,カベタス解禁イベントが発生する状況か,1
0,1,93,0,2,SeqGetRecipeKabetasu,カベタス解禁イベントが完了,1
0,1,94,0,2,ManGenerateInFieldTemp,ナッティー|メインエリアへの生成を予約,1
0,6,97,0,1,CoordinatorGrade,コーディネーターグレード,1
0,200,98,0,1,CoordinatorRank,コーディネーターランク,1
0,256,99,0,2,VisitTotal,累計訪問回数,1
0,1,100,1,2,VisitToday,本日訪問したか？,1
0,256,101,0,2,ShareHouseDoneCount,シェアハウス完了回数,1
0,1,102,0,1,UseKabetasuDone,カベタスを使って家or施設を完成,1
0,1,103,0,2,SeqParty1Done,10件打ち上げイベントを見た？,1
0,1,104,0,2,SeqParty2Done,20件打ち上げイベントを見た？,1
0,1,105,0,2,SeqParty3Done,30件打ち上げイベントを見た？,1
0,1,106,0,2,SeqRestaurantEditOngoing,レストラン（カフェ）作成イベントが進行中,1
0,1,107,0,2,SeqHospitalEditOngoing,病院作成イベントが進行中,1
0,1,108,0,2,SeqTailorEditOngoing,服屋作成イベントが進行中,1
