Category,FloorScale,RotateOffsetX,RotateOffsetY,RotateOffsetZ,TransOffsetX,TransOffsetY,TransOffsetZ,WallScale,BreakDamage,UniqueID,HangerInfo,Label,Name,SpecialELink,SpecialSLink,Storage
Cap,0.75,227,178,88,5.25,-0.45,2.3,0.85,0,55,8,HeadHairOrnament_Left,頭：髪飾り(左頭),0,0,
Cap,0.75,227,2,88,5.3,-0.45,-2.3,0.85,0,54,8,HeadHairOrnament_Right,頭：髪飾り(右頭),0,0,
Cap,0.75,-90,-90,0,0,0,0,0.75,0,48,7,HeadFullFace,頭：フルフェイス,0,0,
Cap,0.75,-25,0,0,0,3.567,-0.281,0.7,0,43,9,HeadCap,頭：帽子,0,0,
Bag,1,0,0,0,0,0,0,1.4,0,53,10,BagShoulder,カバン：ショルダー,0,0,
Bag,1,0,0,0,0,0,0,1.4,0,41,10,BagBackpack,カバン：バックパック,0,0,
Shoes,1.45,0,0,0,0,0,0,1.5,0,35,11,ShoesHard,靴：かたい,0,0,
Shoes,1.45,0,0,0,0,0,0,1.5,0,116,11,ShoesSlippers,靴：スリッパ,0,0,
Shoes,1.45,0,0,0,0,0,0,1.5,0,70,11,ShoesGeta,靴：げた,0,0,
Shoes,1.45,0,0,0,0,0,0,1.5,0,115,11,ShoesPumps,靴：パンプス,0,0,
Shoes,1.45,0,0,0,0,0,0,1.5,0,39,11,ShoesSoft,靴：やわらかい,0,0,
Socks,1.2,0,0,0,0,0,0,1,0,34,12,Socks,靴下,0,0,�
Tops,1.12,0,0,0,0,0,0,1,0,96,1,Tops,トップス,0,0, 
Marinesuit,1,0,0,0,0,0,0,1,0,40,1,Marinesuit,マリンスーツ,0,0,p
Tops,1.12,0,0,0,0,0,0,1,0,97,1,Onepiece,ワンピース,0,0,`
None,1,0,0,0,0,0,0,1,0,0,0,None,なし,0,0,
Bottoms,1.12,0,0,0,0,0,0,1,0,98,2,Bottoms,ボトムス,0,0,@
Ocarina,1,0,0,0,0,0,0,1,0,103,0,Ocarina,オカリナ,0,0,
Tambourine,1,0,0,0,0,0,0,1,0,105,0,Tambourine,タンバリン,0,0,
Panpipe,1,0,0,0,0,0,0,1,0,104,0,Panpipe,パンフルート,0,0,
CliffMaker,1,0,0,0,0,0,0,1,0,49,0,CliffMaker,崖造成キット,0,0,
RiverMaker,1,0,0,0,0,0,0,1,0,67,0,RiverMaker,川造成キット,0,0,
FenceMaker,1,0,0,0,0,0,0,1,0,63,0,FenceMaker,柵造成キット,0,0,
GroundMaker,1,0,0,0,0,0,0,1,0,18,0,GroundMaker,道造成キット,0,0,
Net,1,0,0,0,0,0,0,1,10,31,0,Net,アミ：下位,0,0,
Net,1,0,0,0,0,0,0,1,30,75,0,NetMiddleLevel,アミ：中位,0,0,
Net,1,0,0,0,0,0,0,1,90,76,0,NetUpperLevel,アミ：上位,0,0,
Axe,1,0,0,0,0,0,0,1,3,150,0,AxeFragile,オノ：壊れかけ,0,0,
Axe,1,0,0,0,0,0,0,1,40,2,0,Axe,オノ：下位,0,0,
Axe,1,0,0,0,0,0,0,1,100,77,0,AxeMiddleLevel,オノ：中位,0,0,
Axe,1,0,0,0,0,0,0,1,200,78,0,AxeUpperLevel,オノ：上位,0,0,
Axe,1,0,0,0,0,0,0,1,40,99,0,AxeDull,切れないオノ：下位,0,0,
Axe,1,0,0,0,0,0,0,1,100,117,0,AxeDullMiddleLevel,切れないオノ：中位,0,0,
Watering,1,0,0,0,0,0,0,1,20,19,0,Watering,ジョウロ：下位,0,0,
Watering,1,0,0,0,0,0,0,1,60,79,0,WateringMiddleLevel,ジョウロ：中位,0,0,
Watering,1,0,0,0,0,0,0,1,180,80,0,WateringUpperLevel,ジョウロ：上位,0,0,
Scoop,1,0,0,0,0,0,0,1,50,38,0,ScoopHandMade,スコップ：てづくり,0,0,
Scoop,1,0,0,0,0,0,0,1,40,1,0,Scoop,スコップ：下位,0,0,
Scoop,1,0,0,0,0,0,0,1,100,81,0,ScoopMiddleLevel,スコップ：中位,0,0,
Scoop,1,0,0,0,0,0,0,1,200,82,0,ScoopUpperLevel,スコップ：上位,0,0,
FishingRod,1,0,0,0,0,0,0,1,10,15,0,FishingRod,つりざお：下位,0,0,
FishingRod,1,0,0,0,0,0,0,1,30,83,0,FishingRodMiddleLevel,つりざお：中位,0,0,
FishingRod,1,0,0,0,0,0,0,1,90,84,0,FishingRodUpperLevel,つりざお：上位,0,0,
FishingRod,1,0,0,0,0,0,0,1,60,140,0,FishingRodAndFloat,つりざお：一体型,0,0,
Slingshot,1,0,0,0,0,0,0,1,10,60,0,Slingshot,パチンコ：下位,0,0,
Slingshot,1,0,0,0,0,0,0,1,20,85,0,SlingshotMiddleLevel,パチンコ：中位,0,0,
Slingshot,1,0,0,0,0,0,0,1,60,86,0,SlingshotUpperLevel,パチンコ：上位,0,0,
JumpStick,1,0,0,0,0,0,0,1,0,95,0,JumpStick,ジャンプ棒,0,0,
Ladder,1,0,0,0,0,0,0,1,0,51,0,Ladder,はしご,0,0,
ChangeStick,1,0,0,0,0,0,0,1,0,52,0,ChangeStick,変身ステッキ,0,0,
PaperFan,1,0,0,0,0,0,0,1.15,0,102,13,PaperFan,うちわ,0,0,
Umbrella,0.68,0,0,0,0,0,0,1,0,14,0,Umbrella,カサ,1,1,
Umbrella,1,0,0,0,0,0,0,1,0,121,0,Umbrella_NoUseToolCommonAnim,カサ（自前アニメ）,0,0,
Umbrella,0.68,0,0,0,0,0,0,1,0,148,0,Umbrella_NoSound,カサ_開閉音無し,0,1,
Umbrella,0.68,0,0,0,0,0,0,1,0,133,0,Umbrella_Leaf,カサ_葉っぱ,1,1,
Umbrella,0.68,0,0,0,0,0,0,1,0,132,0,Umbrella_Flower,カサ_花,1,1,
Windmill,1,0,0,0,0,0,0,1,0,111,0,Windmill,かざぐるま,0,0,
Cracker,1,0,0,0,0,0,0,1,0,59,0,Cracker,クラッカー,0,0,
SoapBubble,1,0,0,0,0,0,0,1,0,89,0,SoapBubble,シャボン玉,0,0,
StickLight,1,0,0,0,0,0,0,1,0,114,0,StickLight,スティックライト,0,0,
Spanner,1,0,0,0,0,0,0,1,0,120,0,Spanner,スパナとかなづち,0,0,
SmartPhone,1,0,0,0,0,0,0,1,0,93,0,SmartPhone,スマホ,0,0,
None,1,0,0,0,0,0,0,1,0,151,0,Brush,はけ,0,0,
Firework,1,0,0,0,0,0,0,1,0,112,0,Fireworks,手持ち花火,1,0,
PinataStick,1,0,0,0,0,0,0,1,0,62,0,PinataStick,ピニャータ割り棒,0,0,
Balloon,1,0,0,0,0,0,0,1,0,142,0,Balloon,ふうせん,0,0,
BlowStick,1,0,0,0,0,0,0,1,0,113,0,Blowouts,ふきもどし,0,0,
Ice,1,0,0,0,0,0,0,1,0,92,0,Ice,アイス,0,0,
Branch,1,0,0,0,0,0,0,1,0,138,0,Branch,えだ,0,0,
Hammer,1,0,0,0,0,0,0,1,0,147,0,Hammer,かなづち,0,0,
Canister,1,0,0,0,0,0,0,1,0,135,0,Canister,缶,0,0,
Candy,1,0,0,0,0,0,0,1,0,134,0,Candy,キャンディ,0,0,
Sprayer,1,0,0,0,0,0,0,1,0,144,0,Sprayer,きりふき,0,0,
FruitBasket,1,0,0,0,0,0,0,1,0,124,0,FruitBasket,果物カゴ,0,0,
Coffee,1,0,0,0,0,0,0,1,0,91,0,Coffee,コーヒー,1,0,
Cop,1,0,0,0,0,0,0,1,0,145,0,Cop,コップ,0,0,
Sandwich,1,0,0,0,0,0,0,1,0,136,0,Sandwich,サンドウィッチ,0,0,
Sketchbook,1,0,0,0,0,0,0,1,0,141,0,Sketchbook,スケッチブック,0,0,
Smoothie,1,0,0,0,0,0,0,1,0,146,0,Smoothie,スムージー,0,0,
Dumbbell,1,0,0,0,0,0,0,1,0,108,0,Dumbbell,ダンベル,0,0,
LightDumbbell,1,0,0,0,0,0,0,1,0,131,0,LightDumbbell,ダンベル(軽い),0,0,
RcmTourFlag,1,0,0,0,0,0,0,1,0,118,0,RcmTourFlag,つぶまめツアー旗,0,0,
BagHand,1,0,0,0,0,0,0,1,0,87,0,BagHand,手提げカバン,0,0,
CuteBagHand,1,0,0,0,0,0,0,1,0,126,0,CuteBagHand,手提げかばん(キュート),0,0,
CoolBagHand,1,0,0,0,0,0,0,1,0,127,0,CoolBagHand,手提げかばん(クール),0,0,
HighBagHand,1,0,0,0,0,0,0,1,0,129,0,HighBagHand,手提げかばん(生活度高),0,0,
LowBagHand,1,0,0,0,0,0,0,1,0,128,0,LowBagHand,手提げかばん(生活度低),0,0,
Doughnut,1,0,0,0,0,0,0,1,0,137,0,Doughnut,ドーナッツ,0,0,
TkkGuitar,1,0,0,0,0,0,0,1,0,71,0,TkkGuitar,とたけけギター,0,0,
Duster,1,0,0,0,0,0,0,1,0,125,0,Duster,はたき,1,0,
Bouquet,1,0,0,0,0,0,0,1,0,153,0,Bouquet,ブーケ,0,0,
Broom,1,0,0,0,0,0,0,1,0,88,0,Broom,ほうき,1,1,
Scallop,1,0,0,0,0,0,0,1,0,155,0,Scallop,ホタテ,0,0,
Book,1,0,0,0,0,0,0,1,0,66,0,Book,本,0,1,
SmallBook,1,0,0,0,0,0,0,1,0,130,0,SmallBook,本(小),0,1,
Firewood,1,0,0,0,0,0,0,1,0,119,0,Firewood,薪,0,0,
HandLens,1,0,0,0,0,0,0,1,0,123,0,HandLens,虫眼鏡,0,0,
