BackColor,BodyColor,63a46970 u16,FootColor,HeadColor,PenColor1,PenColor2,PenColor3,PenColor4,RuleColor,953983b4 u16,d299f964 u16,ada3644a u16,ea031e9a u16,TextLotId,84818e10 u16,UniqueID,Kind,ResourceName,SelectableSeason,UnlockTrigger
-1,113,-2,113,113,113,114,115,116,1,0,0,0,0,-1,-1,387,0,MsgAcademy00,0,1
-1,198,-2,198,198,1,2,3,4,1,0,0,0,0,-1,-1,403,0,MsgNewyear01,0,1
-1,163,-2,164,164,1,2,3,4,1,0,0,0,0,-1,-1,411,0,MsgTotakeke00,0,1
-1,330,-2,332,331,1,2,3,4,1,0,0,0,0,-1,-1,427,0,MsgFish00,0,1
-1,325,-2,325,325,1,2,3,4,1,0,0,0,0,-1,-1,428,0,MsgInsect00,0,1
-1,343,-2,343,343,1,2,3,4,1,0,0,0,0,-1,-1,429,0,MsgBank00,0,1
-1,345,-2,345,345,1,2,3,4,1,0,0,0,0,-1,-1,430,0,MsgMilage00,0,1
-1,349,-2,350,350,1,2,3,4,1,0,0,0,0,-1,-1,431,0,MsgDal00,0,1
-1,355,-2,356,356,1,2,3,4,1,0,0,0,0,-1,-1,433,0,MsgFall03,3,0
-1,357,-2,358,358,1,2,3,4,1,0,0,0,0,-1,-1,434,0,MsgShopping00,0,2
-1,361,-2,361,361,1,2,3,4,1,0,0,0,0,-1,-1,435,0,MsgTsunekichi00,0,1
-1,67,-2,67,67,68,69,70,4,1,0,0,0,0,-1,-1,0,0,MsgOther01,0,0
-1,117,-2,118,118,117,118,119,120,1,116,0,214,0,-1,-1,364,0,MsgValentine01,5,0
-1,339,-2,340,340,1,2,3,4,1,0,0,0,0,-1,-1,397,0,MsgEncourage00,0,0
-1,249,-2,250,250,1,2,3,4,1,0,0,0,0,-1,-1,405,0,MsgOther06,0,0
-1,280,-2,280,280,1,2,3,4,1,0,0,0,0,-1,-1,389,0,MsgBirthday00,0,0
89,90,-2,91,91,90,91,92,93,1,0,0,0,0,-1,-1,391,0,MsgBirthday02,0,0
125,126,-2,127,127,126,127,128,129,1,916,0,1130,0,-1,-1,357,0,MsgThanksgiving00,5,0
-1,315,-2,316,316,1,2,3,4,1,0,0,0,0,-1,-1,356,0,MsgActive01,0,0
-1,319,-2,320,320,1,2,3,4,1,0,0,0,0,-1,-1,370,0,MsgWinter01,4,0
-1,154,-2,155,155,154,155,156,157,1,0,0,0,0,-1,-1,363,0,MsgSympathy00,0,0
-1,50,-2,51,51,50,51,52,53,1,0,0,0,0,-1,-1,367,0,MsgWinter00,4,0
-1,172,-2,174,173,1,2,3,4,1,0,0,0,0,-1,-1,394,0,MsgCute01,0,0
-1,80,-2,81,81,80,81,82,83,1,0,0,0,0,-1,-1,373,0,MsgSpring02,1,0
-1,333,-2,334,334,1,2,3,4,1,0,0,0,0,-1,-1,388,0,MsgBaby00,0,0
-1,341,-2,342,342,1,2,3,4,1,0,0,0,0,-1,-1,390,0,MsgBirthday01,0,0
-1,212,-2,213,213,1,2,3,4,1,0,0,0,0,-1,-1,410,0,MsgThankyou00,0,0
