CharacterId,NumberingId,SpNpcCloth,NfpType,NpcLabel,NpcType,Reaction,SeriesId,Studio,Wherearen
98560,587,-1,0,sza,1,0,5,0,0
98561,575,-1,0,sza,1,0,5,0,0
98816,576,-1,0,tkkA,1,0,5,0,0
99072,578,-1,0,rco,1,0,5,0,0
99328,589,-1,0,rcm,1,0,5,0,0
100352,577,-1,0,hgh,1,0,5,0,0
100864,581,-1,0,alw,1,0,5,0,0
101120,582,-1,0,alp,1,0,5,0,0
101376,579,-1,0,szo,1,0,5,0,0
101632,588,-1,0,xct,1,0,5,0,0
101888,585,-1,0,mol,1,0,5,0,0
102912,583,-1,0,owl,1,0,5,0,0
103168,584,-1,0,ows,1,0,5,0,0
103424,586,-1,0,skk,1,0,5,0,0
103936,590,-1,0,kpp,1,0,5,0,0
114944,580,-1,0,otg,1,0,5,0,0
98560,68,-1,1,sza,1,0,5,0,0
99072,69,-1,1,rco,1,0,5,0,0
98817,70,-1,1,tkkB,1,0,5,0,0
100096,71,-1,1,hgs,1,0,5,0,0
103936,72,-1,1,kpp,1,0,5,0,0
101888,73,-1,1,mol,1,0,5,0,0
107264,74,-1,1,boa,1,0,5,0,0
99584,75,-1,1,rcm,1,0,5,0,0
101376,76,-1,1,szo,1,0,5,0,0
107520,77,-1,1,seo,1,0,5,0,0
102656,78,-1,1,poo,1,0,5,0,0
108544,79,-1,1,fox,1,0,5,0,0
108032,80,-1,1,cml,1,0,5,0,0
111872,81,-1,1,tap,1,0,5,0,0
110592,82,-1,1,ttlA,1,0,5,0,0
109056,83,-1,1,ott,1,0,5,0,0
114944,84,-1,1,otg,1,0,5,0,0
154880,85,-1,1,cat00,0,0,5,0,0
185856,86,-1,1,der00,0,0,5,0,0
136704,87,-1,1,,0,0,5,0,0
192256,88,-1,1,dog05,0,0,5,0,0
327168,89,-1,1,tig04,0,0,5,0,0
165632,90,-1,1,cbr10,0,0,5,0,0
333056,91,-1,1,wol10,0,0,5,0,0
225536,92,-1,1,gor08,0,0,5,0,0
309760,93,-1,1,rhn08,0,0,5,0,0
187136,94,-1,1,der05,0,0,5,0,0
214272,95,-1,1,flg13,0,0,5,0,0
293376,96,-1,1,pig02,0,0,5,0,0
301824,97,-1,1,rbt07,0,0,5,0,0
322816,98,-1,1,squ16,0,0,5,0,0
163072,99,-1,1,cbr00,0,0,5,0,0
198400,100,-1,1,duk00,0,0,5,0,0
155904,101,-1,1,cat04,0,0,5,0,0
262400,102,-1,1,mnk08,0,0,5,0,0
181248,103,-1,1,crd01,0,0,5,0,0
157184,104,-1,1,cat09,0,0,5,0,0
176384,105,-1,1,cow00,0,0,5,0,0
143616,106,-1,1,brd04,0,0,5,0,0
215040,107,-1,1,flg16,0,0,5,0,0
202752,108,-1,1,duk17,0,0,5,0,0
252672,109,-1,1,kgr10,0,0,5,0,0
288000,110,-1,1,pgn06,0,0,5,0,0
262144,111,-1,1,mnk07,0,0,5,0,0
272640,112,-1,1,ocp00,0,0,5,0,0
239872,113,-1,1,hrs05,0,0,5,0,0
173056,114,-1,1,chn11,0,0,5,0,0
283136,115,-1,1,pbr07,0,0,5,0,0
304384,116,-1,1,rbt17,0,0,5,0,0
156416,117,-1,1,cat06,0,0,5,0,0
205568,118,-1,1,elp00,0,0,5,0,0
322560,119,-1,1,squ15,0,0,5,0,0
265472,120,-1,1,mus01,0,0,5,0,0
199424,121,-1,1,duk04,0,0,5,0,0
300800,122,-1,1,rbt03,0,0,5,0,0
326912,123,-1,1,tig03,0,0,5,0,0
277760,124,-1,1,ost07,0,0,5,0,0
157696,125,-1,1,cat11,0,0,5,0,0
137472,126,-1,1,,0,0,5,0,0
266240,127,-1,1,mus04,0,0,5,0,0
137984,128,-1,1,,0,0,5,0,0
151296,129,-1,1,bul05,0,0,5,0,0
321024,130,-1,1,squ09,0,0,5,0,0
163840,131,-1,1,cbr03,0,0,5,0,0
144640,132,-1,1,brd08,0,0,5,0,0
219648,133,-1,1,goa04,0,0,5,0,0
